"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"East Asia & Pacific","EAS","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","47128750000","369290680000","506141270000","565634210000","510636200000","662053680000","755771680000","1093646030000","2024403970000","3019610570000","4155949380000","4966909250000","3440498330000","3649005600000","2980344200000","4329710290000","4991859060000","5063386620000","4957000510000","3435627290000","3793611530000","6698103430000","4938884020000","4004950820000","3802311980000","6052234480000","7212362390000","8797457700000","11077018220000","16043046990000","8514153250730.54","13334763471455.6","15898870148298","13726329310803.7","15738126128754.8","17371491448285.2","19509588598089.6","21612747429971.9","21174265996058.3","26574331346857","21718844599577.5","26637082970000","33432752800000",
"Europe & Central Asia (excluding high income)","ECA","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1057360780000","1348267280000","1058662460000","1167867840000","1039253700000","663870630000","641784240000","857742414519.38","925314150000","787654380000","1063568220000","1020638920000",
"Europe & Central Asia","ECS","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","268673730000","234696200000","292060690000","397240220000","301986190000","308198120000","429296370000","431377140000","519778250000","618592230000","928581310000","1436720620000","1641323730000","1910196430000","2460147010000","2336673210000","2675013310000","2451750470000","3120431150000","3358577640000","3993517740000","4885347410000","6109556240000","6249522840000","9545979540000","9045061720000","7344950420000","6259687120000","8622579640000","9969927140000","10675357120000","14164971190000","16337082350000","8241406220000","12020031670000","12239088770000","10877192020000","12265255740000","14742476540000","13155933460000","8645090270000","8841196135521.45","11094163288357.2","","","",
"Ecuador","ECU","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2565600000","2010100000","2021300000","1556000000","522000000","747000000","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93496400000","139273790000","85978070000","91207340000","84276830000","48849670000","59181970000","61629650000","70083650000","55191870000","33323010781.2094","46546100000","42005550000","44199850000","41351180000",
"Euro area","EMU","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","160100280000","136699640000","134356990000","214400850000","212455020000","211038670000","174663400000","169842630000","204472800000","250923140000","428546280000","744350970000","729300540000","916012490000","1290142470000","1171983670000","1331572960000","1174321400000","1493088390000","1699296900000","1956648220000","2349574690000","2952698590000","2768846420000","5222450700000","5057617920000","4191003660000","3371616960000","4811133620000","5778530360000","6118058930000","8373103130000","10061904610000","4989579790000","6670769950000","6439478810000","5399686260000","6135006900000","7708685670000","7006681420000","6120621140000","6171848817911.31","7944619508357.22","5558284854500.47","","",
"Eritrea","ERI","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","33199890000","24000000000","","17940860000","17389180000","16564790000","16677890000","11168140000","10860470000","13232270000","19509170000","48926060000","71090260000","90903980000","122652050000","111448980000","147818900000","116224100000","118667810000","154984140000","190570530000","241028150000","290382930000","402162640000","430900070000","504219320000","468203190000","461559380000","726243370000","940672880000","959910390000","1322915300000","1799833980000","948352290000","1434540470000","1171624980000","1030987550000","995088450000","1116561030000","992913610000","787192290000","704551326648.43","888837580000","723690970000","797285840000","759174660000",
"Estonia","EST","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","166400280000","144099690000","146737920000","229760120000","228320860000","229491470000","198051720000","193984700000","245274770000","284185320000","480938320000","825067820000","820018090000","1042571570000","1449605240000","1303060910000","1473420760000","1284889370000","1635284700000","1872206510000","2200120670000","2686645230000","3338366300000","3180750370000","5736265710000","5542038650000","4551143100000","3690430290000","5303126480000","6080626920000","6313411170000","8672824250000","10511166280000","5190929380000","6900113240000","6705066620000","5601539010000","6333175460000","7979084650000","7232514050000","6313031250000","6371346756992.73","8223952238357.22","5789064824500.47","","",
"Fragile and conflict affected situations","FCS","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
